Hora,Nombre completo del usuario,Usuario afectado,Contexto del evento,Componente,Nombre evento,Descripción,Origen,Dirección IP
"27 junio 2025, 11:24:37 AM",1071,,Asistencia: Asistencia Ruta Básica C3.1/AM,Asistencia,Asistencia confirmada,User with id 1071 took attendance with instanceid 55
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227741' for the user with id '1527' for the grade item with id '2042'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227737' for the user with id '1527' for the grade item with id '2375'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227735' for the user with id '1527' for the grade item with id '2376'.
"27 junio 2025, 9:41:31 AM",,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '-1' updated the grade with id '227736' for the user with id '1527' for the grade item with id '2378'.
"27 junio 2025, 9:41:31 AM",1527,1527,Curso: Desarrollo: Ruta básica - BAQ (C3.1/AM),Sistema,Usuario calificado,The user with id '1527' updated the grade with id '227746' for the user with id '1527' for the grade item with id '2049'.
"27 junio 2025, 9:11:57 AM",1683,1683,Asistencia: Asistencia Ruta Básica C3.1/AM,Asistencia,Informe de sesión visto,User with id 1683 viewed attendance sessions for student with id 1683
"27 junio 2025, 9:11:54 AM",1683,1683,Asistencia: Asistencia Ruta Básica C3.1/AM,Asistencia,Informe de sesión visto,User with id 1683 viewed attendance sessions for student with id 1683
"27 junio 2025, 9:11:19 AM",1683,1683,Asistencia: Asistencia Ruta Básica C3.1/AM,Asistencia,Informe de sesión visto,User with id 1683 viewed attendance sessions for student with id 1683
"27 junio 2025, 8:17:23 AM",1071,,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Visualización de las Calificaciones,The user with id '1071' viewed the grading table for the assignment with course module id '3462'.
"27 junio 2025, 8:12:46 AM",1071,,Asistencia: Asistencia Ruta Básica C3.1/AM,Asistencia,Asistencia confirmada,User with id 1071 took attendance with instanceid 55
"27 junio 2025, 8:06:59 AM",1071,,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Visualización de las Calificaciones,The user with id '1071' viewed the grading table for the assignment with course module id '3462'.
"27 junio 2025, 8:04:26 AM",1071,1118,Tarea: Módulo 1 - Prueba de desempeño,Tarea,Formulario de calificaciones visto,The user with id '1071' viewed the grading form for the user with id '1118' for the assignment with course module id '3462'.
